Searched Name,Company Number,Registered Name,Confidence,Status,Confidence Level,Companies House URL,,,,,,,,,,Searched Name,Confidence,Compnay Number,,URL,Companies House
Isles of Scilly Shipping Company Ltd,09950389,THE ISLES OF SCILLY BOAT HIRE COMPANY LTD,45.00%,active,Low,https://find-and-update.company-information.service.gov.uk/company/09950389,,,,,,,,,,,,,,,
Isles of Scilly Shipping Company Ltd,02619210,FIELD HOUSE (ISLES OF SCILLY) MANAGEMENT COMPANY LIMITED,35.00%,active,Low,https://find-and-update.company-information.service.gov.uk/company/02619210,,,,,,,,,,,,,,,
Isles of Scilly Shipping Company Ltd,03625531,FOUR SEASONS MANAGEMENT COMPANY (ISLES OF SCILLY) LIMITED,28.00%,active,Low,https://find-and-update.company-information.service.gov.uk/company/03625531,,,,,,,,,,,,,,,
Isles of Scilly Skybus Limited,01802523,ISLES OF SCILLY SKYBUS LIMITED,99.00%,active,High,https://find-and-update.company-information.service.gov.uk/company/01802523,,,,,,,,,,,,,,,
Isles of Scilly Skybus Limited,07545590,BELL ROCK HOTEL (ISLES OF SCILLY) LIMITED,30.00%,active,Low,https://find-and-update.company-information.service.gov.uk/company/07545590,,,,,,,,,,,,,,,
Johnston Oils Ltd,SC097681,JOHNSTON OILS LIMITED,95.00%,active,High,https://find-and-update.company-information.service.gov.uk/company/SC097681,,,,,,,,,,,,,,,
Massey Bros (Feeds) Ltd,00581091,MASSEY BROS (FEEDS) LTD.,98.00%,active,High,https://find-and-update.company-information.service.gov.uk/company/00581091,,,,,,,,,,,,,,,
McGill’s Bus Service Ltd,SC027238,MCGILL'S BUS SERVICE LIMITED,95.00%,active,High,https://find-and-update.company-information.service.gov.uk/company/SC027238,,,,,,,,,,,,,,,
Nirva Energy Ltd,13869934,NIRVA ENERGY LTD,100.00%,active,High,https://find-and-update.company-information.service.gov.uk/company/13869934,,,,,,,,,,,,,,,
Nirva Energy Ltd,16666721,NIRVA ENERGY IOW LTD,45.00%,active,Low,https://find-and-update.company-information.service.gov.uk/company/16666721,,,,,,,,,,,,,,,
Nirva Energy Ltd,SC489251,A.P&A NIRVANA PROPERTIES LTD,0.00%,dissolved,Low,https://find-and-update.company-information.service.gov.uk/company/SC489251,,,,,,,,,,,,,,,
Northern Energy Gas Ltd,06894408,NORTHERN ENERGY GAS LIMITED,95.00%,active,High,https://find-and-update.company-information.service.gov.uk/company/06894408,,,,,,,,,,,,,,,
